smiles,value
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.1
CCC(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,4.41
CC(=O)NC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.725
CCC(NC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,5.6
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(CCC1CCCCC1)C(N)=O,5.235
CC(=O)NC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(CCC1CCCCC1)C(N)=O,5.885
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,5.6
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,4.91333333333333
CCC(NC(=O)C(Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,4.715
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(C(=O)NC(C)C(=O)NCCc1ccccc1)C(C)C,4.235
CCCCCCCCN(CCCCCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,4.02
CCCCN(CCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.13
CCCCCCN(CCCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.26
CCCCCN(CCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,4.59
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(C(=O)NC(C)C(=O)NCCC1CCCCC1)C(C)C,4.58
CC(=O)NC(Cc1ccc(P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,4.85
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,4.66
Cc1nc(C)c(-c2n[nH]c3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,4.75
O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1NCc1ccncc1,5.55
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,7.2772
O=C(Nc1cccc(-c2cncc3ccccc23)c1)c1ccccc1NCc1ccncc1,5.27
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,4.3
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.0
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1,4.16
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.93
c1ccc(Nc2ncnc3[nH]nc(Nc4ccccc4)c23)cc1,5.71
Nc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.51
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.47
Clc1cccc(Nc2ncnc3[nH]nc(NCc4ccccc4)c23)c1,5.18
Nc1ncnc2[nH]nc(Nc3cccc(Cl)c3)c12,6.39
Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,6.75
Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.44
Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,6.39
COc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,4.78
COc1cccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.46
Clc1cccc(Nc2ncnc3[nH]nc(Nc4cccc(Cl)c4)c23)c1,5.7
Clc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Br)c4)c23)c1,5.87
Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1,5.87
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,6.58
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,7.52
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,6.82
Cc1cccc(Nc2ncnc3[nH]nc(Nc4cccc(Cl)c4)c23)c1,5.78
Clc1cccc(Nc2ncnc3[nH]nc(-c4ccccc4)c23)c1,5.42
Oc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,6.62
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccccn3)n2)c1,5.92
Cc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1,7.2
Cc1ccc(NC(=O)c2ccc(Cl)cc2)cc1Nc1nccc(-c2cccnc2)n1,6.1
Clc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.82
O=C(O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.1
Cc1ccc(NC(=O)c2ccc3ccccc3c2)cc1Nc1nccc(-c2cccnc2)n1,6.7
CC(=O)Nc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1,5.24
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccc(F)cc1,6.7
O=[N+]([O-])c1cccc(Nc2nccc(-c3ccncc3)n2)c1,4.21
NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.4
Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,6.22
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,6.7
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,6.0
Cc1ccc(C(=O)Nc2cccc(Nc3nccc(-c4cccnc4)n3)c2)cc1,6.0
COc1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.72
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.48
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,5.42
COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.29
