smiles,value
Cc1cc(C)c(C=C2C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,6.34
Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.84333333333333
Cc1cc(C(=O)N2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.50666666666667
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.09333333333333
CCN1CCN(C(=O)c2cc(C)c(C=C3C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,6.57
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.22333333333333
C#Cc1cccc(Nc2ncnc3c2C(=Cc2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.12
CCN(CC)CCNC(=O)c1cc(C)c(C=C2C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.17
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.91
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1C=C1C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,7.12333333333333
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.3
c1ccc(Nc2ncnc3[nH]nc(Nc4ccccc4)c23)cc1,6.08
Nc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,7.2
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,7.1
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.925
CN(C)c1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,6.68
Clc1cccc(Nc2ncnc3[nH]nc(NCc4ccccc4)c23)c1,8.335
