smiles,value
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,6.44
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,8.24
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,8.47
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,9.48
CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,7.6
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,5.87666666666667
Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,5.21
COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.39
CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,6.53
CN1CCN(c2ccc3[nH]c(-c4c(O)nc5cccc(F)c5c4N)nc3c2)CC1,6.14
Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4nc(C(F)(F)F)c[nH]4)c3)ccc21,5.92
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.38
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,5.64
O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1,6.01
Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC(O)CN1CCOCC1,5.66
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,5.77
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.75
CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,5.07
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,5.24
CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,5.41
CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],7.8
Cc1c(Nc2c(C#N)cncc2C=CCCN2CCCC(N)C2)ccc2[nH]ccc12,5.26
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,6.41
CN1CC2CC1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,5.91
Cn1cc(C=C2Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,4.57
CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,6.74
CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,8.48
CC(C)n1nc(-c2cc(O)cc(Br)c2)c2c(N)ncnc21,8.0
COCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1Br,7.47
Cn1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,7.62
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,8.05
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCCC1,7.92
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,8.04
CC(CN)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.32
N#CCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.59
N#CCCCCn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,7.15
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCC1,7.96
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CNC1,7.38
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCC1,8.35
CC1CCC(n2nc(-c3ccc(F)c(O)c3)c3c(N)ncnc32)C1,8.24
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCNC1,7.335
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCOC1,7.485
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,7.52
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2CC1CCNCC1,5.82
Cc1nn(-c2ccccc2)nc1Cn1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,6.22
Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2Cc1ocnc1-c1ccccc1,6.15
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1F,7.43
CC(C)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,8.7
CC(CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,7.095
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2C1CCC1,8.24
CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,8.4
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,6.32
Nc1ncnc2c1c(-c1ccn3ccnc3c1)nn2C1CCCC1,5.05
CC(C)n1nc(-c2ccc(O)cc2)c2c(N)ncnc21,7.33
Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,7.64
Cc1ccc(-c2[nH]nc3ncnc(N)c23)cc1OCc1ccccc1,4.9
Cc1ccc(-c2[nH]nc3ncnc(N)c23)cc1O,7.11
Cc1ccc(-c2nn(C)c3ncnc(N)c23)cc1O,7.19
Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,8.29
CCC(C)n1nc(-c2ccc(C)c(O)c2)c2c(N)ncnc21,7.72
CC(C)n1nc(-c2cccc(O)c2F)c2c(N)ncnc21,7.12
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,7.55
CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,7.33
Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,8.36
COc1cc(Br)cc(-c2nn(C(C)C)c3ncnc(N)c23)c1,6.36
COc1ccc(-c2nn(CC(C)CO)c3ncnc(N)c23)cc1OC,5.87
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,6.93
CCOc1ccc(-c2[nH]nc3ncnc(N)c23)cc1OC,5.22
CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,6.26
C=CCn1nc(-c2ccc(OCC)c(OC)c2)c2c(N)ncnc21,5.47
CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1OC,6.54
CCOc1ccc(-c2nn(C3CCCCC3)c3ncnc(N)c23)cc1OC,6.07
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,7.02
COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1OC,6.13
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,5.92
CCOc1cc(-c2nn(CCO)c3ncnc(N)c23)ccc1OC,4.98
COc1ncc(-c2nn(C(C)C)c3ncnc(N)c23)c(OC)n1,5.8
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,6.42
CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,7.34
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,7.43
COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,6.25
Nc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,7.89
COc1cc(-c2nn(C3CCCC3)c3ncnc(N)c23)ccc1N,8.7
CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21,5.62
