smiles,value
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CCN1C,58.0
CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,69.0
CC(N)Cc1cccc(C(F)(F)F)c1,91.0
CCCCN(CCCC)CCNC(=O)OCCN1CCN(Cc2cc3ccccc3o2)CC1,2.0
CC(O)(CSc1ccc(N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1.0
CC(=O)Nc1ccc(SCC(C)(O)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1,0.0
CN(CCOc1ccc(CC(OCC(F)(F)F)C(=O)O)cc1)c1nc2ccccc2o1,78.0
COc1cccc(CN2CCCC(COC(=O)NCc3ccc(-c4csnn4)cc3)C2)c1[N+](=O)[O-],0.0
Nc1nc(SCc2ccc([N+](=O)[O-])cc2)c2ncn(C3OC(CO)C(O)C3O)c2n1,79.0
NS(=O)(=O)c1ccc(CNC(=O)OCCCc2ccccc2)cc1,67.0
CN(C)CCCCCCOC(=O)NCc1ccc(S(N)(=O)=O)cc1,103.0
CNC(C)Cc1ccccc1,86.0
CCn1c2ccccc2c2cc(CN3CCC(NC(=O)OCC4CCCN(Cc5ccc(OC)c(OCc6ccccc6)c5)C4)C3)ccc21,2.0
CCn1c2ccccc2c2cc(CN3CCC(NC(=O)OCCN(Cc4cccc5ccccc45)C(=O)OC(C)(C)C)C3)ccc21,2.0
CC(C)(C)OC(=O)N(CCOC(=O)NCCc1c[nH]c2ccc(O)cc12)Cc1cccc(Cl)c1,2.0
O=C(NCCc1c[nH]c2ccc(O)cc12)OCc1ccc(-c2ccccc2)cc1,3.0
CCCCCC#CCOC(=O)NCCc1c[nH]c2ccc(OC)cc12,1.0
O=C(c1ccc(-n2cccc2)cc1)N1CCC(O)(c2ccc(Cl)c(C(F)(F)F)c2)CC1,47.0
CCc1c(C)nn(-c2ccc(C(=O)N3CCN(CC=Cc4ccccc4)CC3)cc2)c1C,1.0
Cc1csc(C(C)C(Cn2cncn2)(OCOC(=O)c2cccc(COP(=O)(O)O)c2)c2ccc(F)cc2F)n1,43.0
CC(C)(C)OCC(NC(=O)OC(C)(C)C)C(=O)N1CCN(CC=Cc2ccccc2)CC1,2.0
NS(=O)(=O)c1ccc(C(=O)NN=Cc2ccc(OCC(=O)O)cc2)cc1,102.0
O=C1CCCN1CC1CCN(c2ccnc(C(F)(F)F)n2)CC1,73.0
c1ccc(CC(c2ccccc2)N2CCCCC2)cc1,61.0
c1ccc2c(N3CCNCC3)cccc2c1,91.0
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0.0
COc1ccc(C)cc1S(=O)(=O)N1CCCC1C(=O)OCc1ccc([N+](=O)[O-])cc1,0.0
COc1ccccc1N1CCNCC1,92.0
