smiles,value
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.64
CCC(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,4.92
CC(=O)NC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,4.995
CCC(NC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,5.14
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(CCC1CCCCC1)C(N)=O,5.5775
CC(=O)NC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)NC(CCC1CCCCC1)C(N)=O,4.915
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,5.59
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,5.92833333333333
CCC(NC(=O)C(Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,5.21
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(C(=O)NC(C)C(=O)NCCc1ccccc1)C(C)C,4.91
CCCCCCCCN(CCCCCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.21
CCCCN(CCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.07
CCCCCCN(CCCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.73
CCCCCN(CCCCC)C(=O)C(C)NC(=O)C(NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(C)C,5.71
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(C(=O)NC(C)C(=O)NCCC1CCCCC1)C(C)C,5.02
CC(=O)NC(Cc1ccc(P(=O)(O)O)cc1)C(=O)NC(CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,5.03
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)O,5.17
COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,7.08333333333333
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.12
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.62
c1ccc(Nc2ncnc3[nH]nc(Nc4ccccc4)c23)cc1,4.12
COc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.11
Nc1ncnc2[nH]nc(Nc3cccc(Cl)c3)c12,5.22
Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,8.7
Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.31
Nc1nc(N)c2c(Nc3cccc(Cl)c3)[nH]nc2n1,5.22
Clc1cccc(Nc2ncnc3[nH]nc(Nc4cccc(Cl)c4)c23)c1,5.28
Clc1cccc(Nc2[nH]nc3ncnc(Nc4ccccc4)c23)c1,5.65
Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,6.66
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,5.85
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,6.4
Cc1cccc(Nc2ncnc3[nH]nc(Nc4cccc(Cl)c4)c23)c1,5.09
Oc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.07
NCCCNC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.01
Nc1cccc(Nc2nccc(-c3ccncc3)n2)c1,4.8
CCCCCC(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,5.43
c1cc(Nc2nccc(-c3cccnc3)n2)cc(OCCn2ccnc2)c1,5.31
c1cncc(-c2ccnc(Nc3cccc(-n4ccnc4)c3)n2)c1,5.8
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccn1,4.05
COC(=O)c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.05
FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,5.66
O=C(O)c1ccccc1C(=O)Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.36
CN1CCN(Cc2ccc(C(=O)Nc3cccc(Nc4nccc(-c5cccnc5)n4)c3)cc2)CC1,5.11
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccnc1,5.05
NCCCn1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)C(F)F)c4)n3)cccc21,6.3
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1cccs1,5.52
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccncc1,4.11
Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.85
O=[N+]([O-])c1cccc(Nc2nccc(-c3cccnc3)n2)c1,4.03
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)C1CCCCC1,4.34
CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,7.69761904761905
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.455
O=C(Nc1cccc(Nc2nccc(-c3cccnc3)n2)c1)c1ccccc1,4.8
